date,truth,lstm_pred
2017-02-24,314679.0,321677.9737548828
2017-02-25,307855.0,296799.732421875
2017-02-26,331959.0,302632.93603515625
2017-02-27,360988.0,368666.3203125
2017-02-28,351229.0,357194.1689453125
2017-03-01,323502.0,345652.08935546875
2017-03-02,363024.0,339088.197265625
2017-03-03,383378.0,372379.36328125
2017-03-04,365088.0,358764.03125
2017-03-05,334128.0,348404.720703125
2017-03-06,347941.0,352119.369140625
2017-03-07,336318.0,348543.61083984375
2017-03-08,337121.0,338237.49475097656
2017-03-09,338102.0,348338.8662109375
2017-03-10,356503.0,325792.654296875
2017-03-11,364775.0,336275.7734375
2017-03-12,338297.0,353849.6171875
2017-03-13,390773.0,359388.419921875
2017-03-14,411768.0,389656.59729003906
2017-03-15,441180.0,406025.8603515625
2017-03-16,410804.0,429267.857421875
2017-03-17,404742.0,371049.01171875
2017-03-18,337890.0,371254.80078125
2017-03-19,326664.0,321021.498046875
2017-03-20,365447.0,360802.90625
2017-03-21,337603.0,365279.5707244873
2017-03-22,352558.0,332714.85107421875
2017-03-23,368283.0,365374.232421875
2017-03-24,327640.0,342101.5234375
2017-03-25,282371.0,282044.140625
2017-03-26,278566.0,275062.66748046875
2017-03-27,315108.0,323764.5
2017-03-28,319747.0,325846.6201171875
2017-03-29,321696.0,322603.8854980469
2017-03-30,326227.0,324350.4504394531
2017-03-31,320400.0,322478.7033691406
2017-04-01,301661.0,299598.876953125
2017-04-02,288970.0,296579.4296875
2017-04-03,321152.0,317526.9609375
2017-04-04,318406.0,331196.5771484375
2017-04-05,321238.0,316661.6291503906
2017-04-06,332395.0,324778.58154296875
2017-04-07,353238.0,330010.04541015625
2017-04-08,309547.0,326095.62890625
2017-04-09,285841.0,281821.73046875
2017-04-10,315282.0,316129.234375
2017-04-11,316301.0,319089.7004394531
2017-04-12,311224.0,316049.2146759033
2017-04-13,312043.0,312605.3262939453
2017-04-14,292669.0,303607.7900390625
2017-04-15,278843.0,265954.501953125
2017-04-16,273607.0,275799.1350097656
2017-04-17,310937.0,309366.6171875
2017-04-18,314165.0,318066.8056640625
2017-04-19,318416.0,315349.11328125
2017-04-20,330834.0,321080.0104980469
2017-04-21,313618.0,322151.6162109375
2017-04-22,284761.0,283575.876953125
2017-04-23,279849.0,283750.24743652344
2017-04-24,315361.0,314582.61328125
2017-04-25,317878.0,322604.9921875
2017-04-26,327966.0,319163.5281982422
2017-04-27,320067.0,331269.82666015625
2017-04-28,312725.0,308674.1171875
2017-04-29,299276.0,287838.638671875
2017-04-30,301326.0,293156.68603515625
2017-05-01,319152.0,331794.98046875
2017-05-02,303699.0,329657.4091796875
2017-05-03,303434.0,310262.22216796875
