date,truth,cnn_lstm_pred
2018-01-28,326238.0,331666.673828125
2018-01-29,387501.0,350051.279296875
2018-01-30,431889.0,389903.84375
2018-01-31,422231.0,432521.0255126953
2018-02-01,392972.0,397212.486328125
2018-02-02,443518.0,399546.74951171875
2018-02-03,426770.0,440092.1428222656
2018-02-04,380323.0,388219.4296875
2018-02-05,426724.0,422577.5390625
2018-02-06,421241.0,448860.380859375
2018-02-07,418215.0,398916.181640625
2018-02-08,424763.0,416579.2325439453
2018-02-09,404233.0,414768.5009765625
2018-02-10,357500.0,352497.53515625
2018-02-11,337248.0,345023.1923828125
2018-02-12,384094.0,385401.7890625
2018-02-13,397955.0,382030.2268066406
2018-02-14,369818.0,371470.876953125
2018-02-15,335272.0,347125.697265625
2018-02-16,343395.0,323286.4521484375
2018-02-17,365337.0,342931.63360595703
2018-02-18,334161.0,369841.41162109375
2018-02-19,348909.0,358244.095703125
2018-02-20,324360.0,339433.0732421875
2018-02-21,325259.0,336524.17578125
2018-02-22,345087.0,353069.37109375
2018-02-23,325896.0,343563.6123046875
2018-02-24,303851.0,290490.39453125
2018-02-25,295965.0,311404.35888671875
2018-02-26,340296.0,348713.50390625
2018-02-27,354475.0,345642.9208984375
2018-02-28,338281.0,355125.89709472656
2018-03-01,344032.0,336100.6171875
2018-03-02,367291.0,370052.142578125
2018-03-03,349476.0,339377.640625
2018-03-04,340154.0,317669.693359375
2018-03-05,373271.0,363265.564453125
2018-03-06,360340.0,368857.2158203125
2018-03-07,382954.0,354627.64111328125
2018-03-08,404747.0,388562.01611328125
2018-03-09,397214.0,388918.1083984375
2018-03-10,355135.0,358389.8515625
2018-03-11,328186.0,328888.32421875
2018-03-12,390143.0,370247.9375
2018-03-13,400009.0,394227.3293457031
2018-03-14,410640.0,397876.7902832031
2018-03-15,385679.0,406560.6953125
2018-03-16,372149.0,365874.853515625
2018-03-17,350281.0,348469.609375
2018-03-18,315263.0,330664.28515625
2018-03-19,347276.0,350247.609375
2018-03-20,369195.0,349642.2102050781
2018-03-21,398255.0,383763.306640625
2018-03-22,387598.0,395008.0173339844
2018-03-23,376075.0,372774.603515625
2018-03-24,368372.0,342749.2890625
2018-03-25,340822.0,348977.724609375
2018-03-26,361411.0,375019.921875
2018-03-27,355959.0,350543.318359375
2018-03-28,336093.0,353812.19970703125
2018-03-29,329962.0,331994.88037109375
2018-03-30,315710.0,338206.603515625
2018-03-31,314954.0,304274.556640625
2018-04-01,293306.0,298810.5947265625
2018-04-02,340887.0,339705.37109375
2018-04-03,338604.0,352683.3544921875
2018-04-04,344124.0,342800.92724609375
2018-04-05,362570.0,357813.2255859375
2018-04-06,343354.0,347040.1328125
2018-04-07,343202.0,303092.6484375
2018-04-08,339525.0,342511.43420410156
2018-04-09,373844.0,380185.9375
2018-04-10,361992.0,373778.2384109497
2018-04-11,339926.0,361421.6294555664
2018-04-12,326132.0,334701.4501953125
2018-04-13,313577.0,313953.6025390625
2018-04-14,294034.0,286884.63671875
2018-04-15,294163.0,288206.21435546875
2018-04-16,355899.0,342413.92578125
2018-04-17,379252.0,377206.681640625
2018-04-18,347182.0,377528.5832519531
2018-04-19,340972.0,335785.6025390625
2018-04-20,342226.0,333479.3779296875
2018-04-21,309700.0,303961.875
2018-04-22,286784.0,287240.4453125
2018-04-23,315207.0,319838.34765625
2018-04-24,281370.0,321964.03515625
2018-04-25,317392.0,284243.7805175781
2018-04-26,315787.0,325318.94921875
2018-04-27,311136.0,308604.51708984375
2018-04-28,293702.0,291703.89453125
2018-04-29,291763.0,294840.25451660156
2018-04-30,322644.0,322019.435546875
2018-05-01,318045.0,318359.7861328125
2018-05-02,327388.0,317973.28662872314
2018-05-03,341214.0,329399.9626464844
2018-05-04,329415.0,320762.38671875
2018-05-05,285652.0,280313.18359375
2018-05-06,280322.0,274057.7958984375
2018-05-07,311340.0,327299.83984375
2018-05-08,319082.0,318451.720703125
2018-05-09,328530.0,322396.96142578125
2018-05-10,335838.0,330467.22009277344
2018-05-11,324604.0,322049.693359375
2018-05-12,310630.0,287253.01171875
2018-05-13,307981.0,293699.630859375
2018-05-14,360114.0,337052.361328125
2018-05-15,364123.0,365938.7490234375
2018-05-16,334210.0,354889.4140625
2018-05-17,347176.0,324293.17578125
2018-05-18,328424.0,338813.0322265625
2018-05-19,313060.0,285478.8828125
2018-05-20,316059.0,301162.23046875
2018-05-21,353488.0,353157.3515625
2018-05-22,356571.0,365551.8115234375
2018-05-23,347750.0,357084.89764404297
2018-05-24,351750.0,342083.22265625
2018-05-25,363291.0,342439.013671875
2018-05-26,334508.0,339006.810546875
2018-05-27,340760.0,325334.87109375
2018-05-28,361054.0,370508.734375
2018-05-29,405705.0,406717.0546875
2018-05-30,403182.0,401301.33251953125
2018-05-31,401786.0,372433.296875
2018-06-01,377632.0,368689.859375
2018-06-02,341092.0,332384.94140625
2018-06-03,331791.0,326801.859375
2018-06-04,339060.0,365549.734375
2018-06-05,330647.0,334461.212890625
2018-06-06,322825.0,334096.3220214844
2018-06-07,345466.0,338993.0830078125
2018-06-08,360961.0,351298.4072265625
2018-06-09,344637.0,345671.568359375
2018-06-10,332454.0,351327.1298828125
2018-06-11,348883.0,365489.47265625
2018-06-12,353857.0,358171.4833984375
2018-06-13,373453.0,363910.4912109375
2018-06-14,372490.0,376024.8251953125
2018-06-15,374066.0,371700.40661621094
2018-06-16,367177.0,359669.173828125
2018-06-17,388221.0,377950.650390625
2018-06-18,446178.0,427703.97265625
2018-06-19,434078.0,446600.862701416
2018-06-20,405651.0,412561.529296875
2018-06-21,373137.0,391410.853515625
2018-06-22,366560.0,350610.89453125
2018-06-23,338479.0,344405.720703125
2018-06-24,346565.0,327267.3974609375
2018-06-25,365644.0,382200.2265625
2018-06-26,361241.0,371530.66552734375
2018-06-27,368290.0,364312.53759765625
2018-06-28,394806.0,359125.8193359375
2018-06-29,412192.0,392468.0791015625
2018-06-30,402247.0,383036.3515625
2018-07-01,403171.0,395397.51904296875
2018-07-02,420069.0,429702.0859375
2018-07-03,422164.0,415656.8603515625
2018-07-04,408204.0,420827.1691894531
2018-07-05,422616.0,441708.9453125
2018-07-06,377830.0,424561.89599609375
2018-07-07,326648.0,340466.1171875
2018-07-08,330449.0,323081.18115234375
2018-07-09,394256.0,377892.56640625
2018-07-10,419744.0,407966.9853515625
2018-07-11,401139.0,416674.5705566406
2018-07-12,391940.0,388419.1201171875
2018-07-13,405871.0,385162.05810546875
2018-07-14,395721.0,382903.591796875
2018-07-15,391109.0,389989.76953125
2018-07-16,417601.0,422937.34375
2018-07-17,415467.0,416555.5085449219
2018-07-18,379537.0,405766.357421875
2018-07-19,381358.0,383910.2587890625
2018-07-20,367980.0,391952.345703125
