date,tavg,tmax,tmin,prcp,wspd,pres,rhum,tsun
2017-05-01,18.4,23.6,12.0,13.0,33.2,977.3,67,21538.46
2017-05-02,11.8,16.1,8.6,1.2,40.0,981.4,58,37915.59
2017-05-03,10.3,14.8,5.8,0.2,15.0,992.6,62,36479.02
2017-05-04,12.6,16.0,9.4,15.8,20.2,984.4,75,0.0
2017-05-05,10.1,13.9,6.8,28.5,31.2,972.4,92,0.0
2017-05-06,10.1,14.4,6.5,0.7,25.0,976.5,66,46800.0
2017-05-07,9.2,14.0,4.3,0.0,27.1,984.5,52,47129.82
2017-05-08,8.0,13.9,1.1,0.0,20.2,990.1,51,48504.37
2017-05-09,9.9,13.9,5.1,0.1,10.4,988.1,72,22001.53
2017-05-10,15.4,22.0,7.8,0.0,8.6,987.6,75,35309.16
2017-05-11,16.5,19.8,12.8,5.7,22.9,983.9,78,24221.12
2017-05-12,14.1,17.9,10.9,0.0,12.6,984.9,73,0.0
2017-05-13,14.0,20.1,6.8,0.0,12.7,984.8,74,48897.29
2017-05-14,18.5,24.7,12.1,0.8,21.7,984.3,64,49174.56
2017-05-15,16.5,22.3,10.3,0.0,9.6,990.1,53,48479.36
2017-05-16,20.7,28.5,11.8,0.0,20.3,988.3,64,48759.05
2017-05-17,23.2,28.8,17.0,0.0,27.6,987.0,68,41699.29
2017-05-18,23.5,26.6,20.6,0.1,28.4,986.7,68,34930.84
2017-05-19,20.8,24.5,15.6,10.2,12.2,989.4,85,36568.64
2017-05-20,18.8,25.4,13.6,1.6,15.8,992.2,80,22200.32
2017-05-21,20.4,23.5,18.9,25.4,23.7,989.3,89,10985.64
2017-05-22,15.6,19.5,11.3,1.0,16.6,990.8,67,51478.99
2017-05-23,16.9,23.6,10.1,0.0,12.4,983.2,68,45923.07
2017-05-24,17.2,21.0,12.8,14.8,19.6,973.2,85,20547.29
2017-05-25,16.3,19.8,14.1,8.0,20.6,971.1,88,24343.7
2017-05-26,18.3,24.0,13.1,0.1,24.4,983.5,70,52333.8
2017-05-27,20.6,25.6,16.8,7.2,12.7,984.1,82,38384.58
2017-05-28,20.6,25.8,17.4,6.7,22.5,981.9,85,28625.93
2017-05-29,20.6,24.9,15.5,5.4,22.4,985.3,71,52566.39
2017-05-30,19.7,24.2,13.8,0.5,24.6,988.4,62,50307.12
2017-05-31,17.7,23.4,11.1,3.0,29.3,989.1,65,51269.7
2017-06-01,17.9,24.2,11.7,0.0,15.2,990.9,64,52773.86
2017-06-02,19.3,25.5,10.9,0.0,9.9,991.6,58,52837.49
