date,truth,gru_pred
2018-04-12,326132.0,333031.43701171875
2018-04-13,313577.0,310753.1259765625
2018-04-14,294034.0,277981.8046875
2018-04-15,294163.0,293308.7762451172
2018-04-16,355899.0,354152.62109375
2018-04-17,379252.0,381923.404296875
2018-04-18,347182.0,379559.0809326172
2018-04-19,340972.0,332369.740234375
2018-04-20,342226.0,337566.8928222656
2018-04-21,309700.0,301749.375
2018-04-22,286784.0,285486.9921875
2018-04-23,315207.0,321304.52734375
2018-04-24,281370.0,324577.384765625
2018-04-25,317392.0,284584.8571777344
2018-04-26,315787.0,328105.0068359375
2018-04-27,311136.0,302118.1044921875
2018-04-28,293702.0,286704.751953125
2018-04-29,291763.0,292276.3895263672
2018-04-30,322644.0,323727.673828125
2018-05-01,318045.0,324665.7041015625
2018-05-02,327388.0,319932.9288330078
2018-05-03,341214.0,335399.74853515625
2018-05-04,329415.0,324745.78515625
2018-05-05,285652.0,285438.00390625
2018-05-06,280322.0,277971.34912109375
2018-05-07,311340.0,330745.54296875
2018-05-08,319082.0,323454.9453125
2018-05-09,328530.0,324528.4716796875
2018-05-10,335838.0,333019.03955078125
2018-05-11,324604.0,317235.333984375
2018-05-12,310630.0,285242.3515625
2018-05-13,307981.0,302131.3564453125
2018-05-14,360114.0,345604.359375
2018-05-15,364123.0,367943.77978515625
2018-05-16,334210.0,354415.8359375
2018-05-17,347176.0,327314.05615234375
2018-05-18,328424.0,339438.578125
2018-05-19,313060.0,282397.19921875
2018-05-20,316059.0,306556.16650390625
2018-05-21,353488.0,353363.98046875
2018-05-22,356571.0,363135.1396484375
2018-05-23,347750.0,355602.7899169922
2018-05-24,351750.0,348383.61767578125
2018-05-25,363291.0,346516.92041015625
2018-05-26,334508.0,335819.50390625
2018-05-27,340760.0,319651.646484375
2018-05-28,361054.0,374422.65234375
2018-05-29,405705.0,415722.32421875
2018-05-30,403182.0,409863.07861328125
2018-05-31,401786.0,375262.68359375
2018-06-01,377632.0,368533.77734375
2018-06-02,341092.0,332917.859375
2018-06-03,331791.0,332723.318359375
2018-06-04,339060.0,368295.41015625
2018-06-05,330647.0,339312.0274963379
2018-06-06,322825.0,334399.9978027344
2018-06-07,345466.0,335263.728515625
2018-06-08,360961.0,354048.365234375
2018-06-09,344637.0,343106.896484375
2018-06-10,332454.0,344645.65510845184
2018-06-11,348883.0,376569.5703125
2018-06-12,353857.0,357065.77001953125
2018-06-13,373453.0,357886.3269042969
2018-06-14,372490.0,374594.31494140625
2018-06-15,374066.0,366373.12939453125
2018-06-16,367177.0,356084.833984375
2018-06-17,388221.0,370122.45361328125
2018-06-18,446178.0,434709.76171875
2018-06-19,434078.0,445364.1046142578
2018-06-20,405651.0,412087.02734375
2018-06-21,373137.0,395823.587890625
2018-06-22,366560.0,350283.1875
2018-06-23,338479.0,337022.3515625
2018-06-24,346565.0,327555.04296875
2018-06-25,365644.0,387752.27734375
2018-06-26,361241.0,375306.2421875
2018-06-27,368290.0,372053.626953125
2018-06-28,394806.0,364930.75732421875
2018-06-29,412192.0,388905.4658203125
2018-06-30,402247.0,378947.5546875
2018-07-01,403171.0,393113.17578125
2018-07-02,420069.0,428862.2109375
2018-07-03,422164.0,414169.6875
2018-07-04,408204.0,422257.915977478
2018-07-05,422616.0,438574.158203125
2018-07-06,377830.0,419477.07275390625
2018-07-07,326648.0,329608.4140625
2018-07-08,330449.0,331180.810546875
2018-07-09,394256.0,391261.4609375
2018-07-10,419744.0,412204.3203125
2018-07-11,401139.0,420335.07849121094
2018-07-12,391940.0,394156.33349609375
2018-07-13,405871.0,390078.8981933594
2018-07-14,395721.0,381171.78125
2018-07-15,391109.0,388704.27197265625
2018-07-16,417601.0,431757.28125
2018-07-17,415467.0,411660.98876953125
2018-07-18,379537.0,399070.982421875
2018-07-19,381358.0,377322.2121582031
2018-07-20,367980.0,382343.52838134766
2018-07-21,331086.0,319364.39453125
2018-07-22,323504.0,319288.4423828125
2018-07-23,369842.0,367570.046875
2018-07-24,381373.0,382589.5517578125
2018-07-25,396080.0,386234.8779296875
2018-07-26,395382.0,397843.96240234375
